Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0
2020-03-08,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0
2020-03-09,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,3.0
2020-03-10,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,5.0
2020-03-11,,,,,2.0,,,2.0,,,,,,,,,,,,,,,1.0,,,,6.0
2020-03-12,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,7.0
2020-03-13,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,2.0,,,,8.0
2020-03-14,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,3.0,,3.0,1.0,,,12.0
2020-03-15,,,,,2.0,,,4.0,,,,,,,,,,,,,6.0,,4.0,1.0,,,18.0
2020-03-16,,,,1.0,2.0,4.0,,4.0,,,,,,,,,,,,,8.0,,5.0,2.0,,1.0,27.0
2020-03-17,,,,,2.0,4.0,,4.0,,,,,1.0,,,,,,,,10.0,,5.0,3.0,,,31.0
2020-03-18,,,,1.0,2.0,4.0,1.0,6.0,,1.0,,,2.0,,,,,,,,14.0,,5.0,3.0,,,40.0
2020-03-19,,,,1.0,2.0,4.0,1.0,6.0,,1.0,,,3.0,,,,,,,,15.0,,7.0,4.0,,3.0,47.0
2020-03-20,1.0,,,2.0,3.0,4.0,1.0,8.0,,3.0,,,3.0,,,,,,,,22.0,,12.0,6.0,,3.0,68.0
2020-03-21,,,1.0,3.0,3.0,5.0,2.0,9.0,,3.0,,1.0,4.0,,,,,,,,28.0,,15.0,7.0,,,85.0
2020-03-22,1.0,,,,3.0,5.0,3.0,10.0,,6.0,,1.0,4.0,,,,,,,,37.0,,16.0,10.0,,,103.0
2020-03-23,1.0,,1.0,5.0,3.0,5.0,4.0,10.0,,,,1.0,5.0,,,1.0,,1.0,,,48.0,,25.0,12.0,,5.0,133.0
2020-03-24,2.0,,2.0,6.0,4.0,5.0,5.0,13.0,,6.0,,2.0,6.0,,,,,1.0,,1.0,53.0,,29.0,13.0,,5.0,154.0
2020-03-25,2.0,,2.0,6.0,5.0,8.0,6.0,16.0,,6.0,,2.0,9.0,,,1.0,,1.0,,1.0,60.0,,36.0,14.0,,7.0,182.0
2020-03-26,2.0,,2.0,7.0,5.0,12.0,11.0,22.0,,9.0,,3.0,11.0,,,2.0,,1.0,1.0,1.0,67.0,,47.0,15.0,,9.0,227.0
2020-03-27,3.0,,2.0,8.0,5.0,13.0,15.0,23.0,,9.0,,3.0,12.0,,,,,1.0,1.0,2.0,76.0,,48.0,20.0,1.0,11.0,255.0
2020-03-28,,,2.0,9.0,6.0,13.0,15.0,27.0,1.0,,,4.0,14.0,,,5.0,,1.0,2.0,2.0,87.0,,55.0,21.0,,15.0,292.0
2020-03-29,,,2.0,10.0,6.0,15.0,16.0,37.0,,,,5.0,17.0,,,5.0,,2.0,2.0,2.0,93.0,,66.0,21.0,,15.0,328.0
2020-03-30,8.0,,2.0,13.0,7.0,15.0,17.0,43.0,1.0,12.0,,6.0,19.0,,,5.0,,,2.0,2.0,105.0,,77.0,26.0,1.0,21.0,384.0
2020-03-31,11.0,,2.0,16.0,10.0,16.0,20.0,52.0,2.0,19.0,,7.0,21.0,,,7.0,,2.0,4.0,3.0,120.0,,84.0,35.0,1.0,25.0,457.0
2020-04-01,11.0,,3.0,20.0,11.0,18.0,23.0,65.0,2.0,21.0,,7.0,23.0,,,7.0,1.0,3.0,4.0,4.0,132.0,1.0,92.0,37.0,1.0,29.0,515.0
2020-04-02,12.0,,3.0,23.0,12.0,19.0,26.0,72.0,2.0,23.0,,7.0,,,,8.0,1.0,3.0,4.0,4.0,141.0,1.0,107.0,40.0,1.0,36.0,568.0
2020-04-03,12.0,,3.0,26.0,14.0,21.0,31.0,78.0,2.0,27.0,,7.0,,,,8.0,1.0,3.0,4.0,5.0,155.0,1.0,123.0,45.0,2.0,38.0,629.0
2020-04-04,,,3.0,28.0,19.0,24.0,37.0,,,,,7.0,,0.0,,9.0,,3.0,5.0,5.0,,1.0,,51.0,2.0,,653.0
